"Wight and Sozen, 1973, Spec. WS048E"	
1317	
0	0
0.23039	7.2129
0.28799	10.218
0.23039	12.522
0.23039	14.927
0.23039	16.73
0.23039	19.134
0.34557	21.038
0.34557	23.042
0.28799	25.145
0.46078	27.65
0.74874	30.254
1.0943	32.659
1.4975	36.466
2.1311	40.172
2.419	43.078
2.8222	46.281
3.3406	49.088
4.0894	52.896
4.7229	56.303
5.2989	59.407
5.7597	61.809
6.3355	64.416
6.6812	66.217
7.1996	68.223
7.257	68.624
7.257	65.817
6.7963	62.41
6.6236	60.511
6.5659	57.304
6.3355	55.097
6.1628	51.494
6.0475	48.586
5.8748	46.281
5.7597	44.079
5.6444	42.777
5.0109	39.671
4.4925	35.664
3.9164	31.557
3.3406	26.147
3.283	24.845
2.9375	21.739
2.6495	19.936
2.3614	17.732
2.1887	15.929
2.0159	14.927
1.5551	12.022
1.2671	10.519
0.92154	8.2146
0.69116	6.0106
0.46078	4.1074
0.17279	2.1038
-0.23039	-2.4043
-0.40317	-7.5136
-0.57597	-8.8159
-0.63355	-9.7175
-0.74874	-10.419
-1.4975	-14.626
-1.9007	-18.133
-2.2462	-21.038
-2.8222	-25.446
-3.1679	-28.651
-3.6286	-32.759
-4.0894	-37.167
-4.3774	-39.671
-4.7229	-42.075
-5.2413	-46.081
-5.7597	-49.288
-6.2779	-52.295
-7.0843	-56.801
-8.2362	-61.712
-8.5819	-63.415
-9.0427	-66.017
-9.5034	-67.721
-9.9642	-69.024
-10.137	-69.224
-10.022	-65.319
-9.8489	-62.312
-9.6761	-60.511
-9.3881	-56.401
-9.0427	-53.394
-8.7546	-49.488
-8.3515	-45.583
-8.0635	-42.176
-7.6604	-39.271
-7.3147	-37.367
-7.0267	-33.961
-6.3355	-28.551
-5.8171	-23.442
-5.3564	-20.737
-4.7229	-15.528
-4.3198	-12.122
-3.9741	-9.2167
-3.2253	-4.1074
-2.8799	0.10018
-2.4766	2.805
-1.8431	6.1111
-1.1519	10.018
-0.34557	14.226
0.11519	17.531
0.63355	20.737
0.74874	23.743
1.2095	27.75
2.1887	33.861
2.8799	37.968
3.571	42.276
4.4348	47.087
5.0686	51.09
5.6444	54.897
6.1051	57.201
6.8539	63.713
7.7754	68.922
8.4089	72.129
9.0427	75.936
9.3881	77.84
9.8489	79.944
9.9642	76.439
9.4458	71.929
9.1003	68.624
8.8123	65.817
8.5819	63.415
8.2939	60.31
7.9482	55.902
7.7754	52.695
7.3724	49.488
6.9693	44.88
6.1051	38.87
5.8171	37.367
5.414	33.36
5.0109	30.154
4.4348	25.346
3.686	18.934
2.9375	14.326
2.0159	9.6175
0.69116	3.4061
0	-1.6029
-0.46078	-7.313
-0.97914	-12.923
-1.5551	-17.632
-2.6495	-23.442
-4.6652	-34.963
-5.2413	-40.172
-5.8748	-45.383
-6.9116	-50.592
-7.7754	-57.001
-10.425	-67.721
-11.289	-71.831
-11.98	-74.535
-12.786	-77.938
-13.535	-80.945
-14.054	-82.448
-15.033	-85.055
-16.127	-87.359
-16.876	-88.76
-18.028	-90.161
-19.064	-91.162
-20.101	-91.865
-20.331	-92.065
-19.928	-90.161
-19.813	-87.457
-19.698	-85.455
-19.468	-82.048
-19.237	-78.841
-18.949	-72.231
-18.546	-67.921
-18.085	-62.712
-17.682	-59.207
-16.991	-52.896
-16.415	-48.287
-15.551	-40.874
-14.687	-35.664
-14.169	-32.058
-13.362	-27.349
-12.268	-21.438
-10.943	-15.227
-9.3307	-9.0161
-8.3515	-5.2095
-6.6236	-0.10018
-5.9324	1.9034
-4.4348	5.8104
-3.6286	8.7159
-2.5918	12.723
-1.3823	18.634
-0.28799	22.541
0.40317	25.846
2.0159	31.156
3.0526	35.464
3.1102	39.271
4.4925	46.984
5.5867	54.799
6.1628	59.505
6.9693	64.016
7.7754	68.824
8.1785	71.226
8.9273	77.738
