"Nagasaka 82, Specimen HPRC 10 63"	
-0.47749	-23.897
-0.63322	-28.131
-0.79931	-31.257
-1.0069	-35.694
-1.3599	-42.55
-1.6609	-49.306
-1.9515	-56.063
-2.2007	-61.405
-2.5121	-68.059
-2.7508	-73.606
-2.8857	-75.62
-2.8755	-68.766
-2.7198	-62.214
-2.5743	-57.775
-2.346	-50.818
-2.1384	-45.072
-1.9204	-39.021
-1.7232	-34.383
-1.5986	-30.652
-1.3495	-26.216
-1.1522	-20.973
-0.98616	-16.939
-0.79931	-12.2
-0.59169	-7.0581
-0.46713	-3.2265
-0.30104	-0.10083
0.083045	10.991
0.31143	18.956
0.49827	23.292
0.77854	29.846
0.99654	35.29
1.2249	40.836
1.4948	46.179
1.7439	51.321
1.8581	53.643
2.2837	62.614
2.6573	70.986
2.8235	74.513
2.9896	78.343
3.2492	82.479
3.4775	85.201
3.8928	86.914
4.2664	86.714
4.5674	84.899
4.7023	80.865
4.744	75.42
4.5156	66.044
4.2873	59.087
4.0795	53.741
3.7889	45.476
3.5189	39.525
3.2179	32.265
2.8857	26.115
2.6159	20.771
2.346	15.528
2.0138	10.184
1.6713	4.6384
1.2561	-1.0083
0.89273	-5.9488
0.44635	-11.696
0.020761	-17.242
-0.35293	-24.3
-0.6955	-29.442
-1.1626	-36.198
-1.5882	-42.752
-1.9412	-48.399
-2.8026	-61.507
-3.3426	-69.473
-3.685	-73.806
-4.0899	-76.528
-4.3805	-76.63
-4.5466	-74.513
-4.7127	-69.473
-4.6713	-63.624
-4.5362	-58.078
-4.2769	-50.414
-4.0589	-45.072
-3.6746	-38.013
-3.3736	-32.669
-3.0312	-26.418
-2.7612	-21.779
-2.5537	-18.149
-2.3045	-13.915
-2.0138	-9.6797
-1.8166	-6.7556
-1.6505	-3.9323
-1.2561	0
-0.78892	3.1257
-0.37371	5.2433
0.31143	7.0581
0.68511	10.184
0.9654	14.217
1.2145	19.158
1.4014	24.199
1.7024	30.854
1.9827	37.105
2.1695	40.937
2.4291	45.677
2.8961	52.833
3.2388	57.775
3.5397	61.809
3.8616	66.044
4.2248	70.078
4.557	72.698
4.5987	66.751
4.526	61.507
4.474	57.775
4.3703	49.711
4.1938	43.861
3.9342	37.61
3.6332	31.56
3.3736	26.821
3.0208	21.376
2.7612	16.334
2.4706	11.595
2.263	8.7723
2.0242	5.4448
1.474	-1.1091
1.1315	-4.8399
0.75778	-7.663
0.22837	-8.5704
0.031143	-8.7723
-0.65397	-10.991
-0.94463	-14.923
-1.2561	-19.964
-1.6401	-25.107
-2.0553	-29.543
-2.3772	-33.576
-2.7198	-37.509
-3.0935	-41.744
-3.4463	-46.384
-3.7889	-49.809
-4.1938	-53.643
-4.3909	-55.76
-4.3495	-48.803
-4.256	-43.256
-4.1003	-39.021
-3.8928	-35.089
-3.685	-31.66
-3.4775	-27.829
-3.3945	-25.712
-3.2802	-22.788
-3.0208	-17.645
-2.7716	-13.713
-2.4913	-9.6797
-2.2941	-7.1591
-2.045	-4.8399
-1.7855	-3.529
-1.6713	-3.1257
-0.15571	2.3191
0.47749	6.0497
0.94463	9.9822
1.3702	14.015
1.7232	18.351
2.0657	23.292
2.3149	27.022
2.7716	34.081
3.3322	41.845
3.6954	46.584
4.1107	52.131
4.3805	55.556
4.6192	58.883
4.5362	53.541
4.443	48.501
4.3078	43.458
4.173	39.525
4.0381	35.492
3.8511	30.35
3.6124	25.207
3.3736	19.259
3.0518	13.814
2.6886	7.8645
2.4498	3.8316
2.2111	1.0083
1.7855	-1.4116
1.5259	-2.5207
0.41521	-7.2596
-0.15571	-9.0748
-0.72664	-10.688
-1.1834	-13.814
-1.6194	-17.847
-1.9204	-21.477
-2.2111	-25.409
-2.4809	-29.241
-2.7821	-33.173
-3.0935	-37.005
-3.2906	-39.323
-3.8202	-44.769
-4.3287	-50.516
-4.9515	-56.463
-5.429	-60.697
-5.8339	-62.214
-5.9687	-57.673
-5.9583	-52.531
-5.8857	-47.691
-5.7196	-42.349
-5.4602	-37.912
-5.1176	-31.66
-4.7335	-26.115
-4.3183	-20.468
-3.9342	-15.628
-3.5814	-11.394
-3.27	-7.8645
-2.9482	-4.9408
-2.6678	-2.7224
-2.3252	-0.20166
-1.91	1.0083
-1.5675	1.7141
-0.67473	2.8232
0.031143	4.9408
0.50863	6.8566
0.98616	9.7807
1.4325	12.604
2.1488	19.158
2.6678	24.905
3.0518	29.644
3.5606	36.299
3.986	41.744
4.5466	47.087
5.0241	50.213
5.6368	53.136
6	53.34
6.0104	47.994
5.9273	42.449
5.8026	37.206
5.5743	30.047
5.3564	23.493
5.1592	18.351
4.9515	14.015
4.5674	8.0664
4.2769	3.8316
3.8616	0.10083
3.3945	-2.4199
2.8961	-4.9408
2.128	-6.0497
1.5467	-6.3522
0.93426	-6.7556
0.21799	-7.562
-0.35293	-8.5704
-0.76817	-10.184
-1.2872	-13.915
-1.827	-16.435
-2.3564	-19.359
-2.73	-22.384
-3.1661	-26.72
-3.6332	-30.854
-4.2352	-36.702
-4.7231	-40.433
-5.1488	-42.852
-5.5329	-44.769
-5.8443	-45.272
-5.7094	-34.585
-5.4082	-28.837
-5.1488	-24.703
-4.8062	-19.662
-4.4948	-15.528
-4.2042	-11.797
-3.9446	-8.7723
-3.4983	-4.9408
-3.1453	-2.2183
-2.7925	-1.0083
-2.4913	0
-2.0657	0.90748
-1.6401	1.3108
-1.3702	1.4116
-1.2041	1.5125
0.18685	3.2265
1.1107	4.3357
1.6505	5.3438
2.0035	6.4532
2.5847	9.0748
3.2075	13.713
3.6645	17.544
3.9446	20.569
4.3287	24.703
4.858	30.148
5.3772	34.786
5.7925	38.819
6	41.34
5.9273	35.794
5.8651	30.753
5.7612	26.014
5.5847	20.569
5.3564	15.024
5.1072	9.5788
4.8892	5.9488
4.474	2.2183
3.9964	0
3.4463	-2.5207
2.8961	-4.6384
1.7751	-5.8482
0.88235	-7.1591
-0.38407	-8.9738
-1.0277	-9.5788
-1.4844	-10.184
-2.0138	-12.099
-2.4291	-13.915
-2.8339	-15.931
-3.3736	-19.259
-3.7681	-22.485
-4.2352	-28.636
