"""Matamoros et. al 1999 Specimen c10-10 South"""	
1769	
0.233172	0.6583368
0.229108	0.6583368
0.233172	0.680577908
0.233172	0.662785021
0.233172	0.662785021
0.233172	0.640543913
0.087376	0.636095692
0.46228	6.627850214
0.61722	10.67573189
0.81534	13.166736
0.99568	17.5704754
1.25222	25.35486323
1.92278	34.78509307
2.6416	43.3701608
3.1242	49.37525998
3.6068	53.8234816
4.1148	58.27170322
5.1816	65.83367998
5.6896	69.39225727
6.35	72.50601241
6.3754	71.17154592
6.8834	75.61976754
7.62	79.17834484
8.1534	81.40245565
8.0772	80.95763348
8.6868	84.96103294
9.271	86.74032159
10.16	89.85407672
10.7442	89.85407672
11.2776	92.07818753
11.8618	92.5230097
12.446	92.07818753
12.7254	92.07818753
12.1666	82.73692213
11.6332	77.84387835
10.9982	73.39565673
10.1092	65.38885781
9.4742	60.94063619
8.9916	56.49241457
8.4328	51.59937079
7.6454	46.26150485
7.0612	42.12465874
6.5024	37.23161496
5.969	32.64994669
5.0292	25.62175653
4.5212	21.21801713
3.9878	16.63634886
3.5052	12.3660561
2.9972	8.229209997
2.48666	2.455418334
2.01168	-1.75704754
1.94564	-1.539084681
1.93294	-0.037587473
1.9558	1.485706021
1.2446	-10.7202141
0.9652	-16.32497335
0.0124968	-26.95622302
-0.4572	-32.42753561
-0.88646	-38.47711701
-1.38938	-42.65844534
-2.5908	-53.8234816
-3.0988	-58.27170322
-3.5814	-61.38545836
-4.1148	-66.27850214
-5.08	-70.72672376
-5.6388	-74.28530105
-6.1214	-77.39905619
-6.7564	-80.95763348
-7.6454	-83.18174429
-8.2042	-84.96103294
-8.763	-87.62996591
-9.2964	-88.51961024
-10.1854	-91.18854321
-10.7442	-91.63336537
-11.3284	-92.96783186
-12.0904	-94.30229834
-12.7	-93.41265402
-12.2174	-84.07138862
-11.7094	-78.73352267
-11.2014	-74.28530105
-10.1346	-68.94743511
-9.6012	-64.49921349
-9.1186	-59.60616971
-8.5852	-55.15794809
-7.5946	-49.82008214
-7.0612	-45.37186052
-6.5786	-40.96812112
-6.0706	-36.47541728
-5.1054	-30.78169361
-4.5974	-26.68932972
-4.0894	-22.5080014
-3.6068	-18.32667307
-2.50698	-10.45332081
-1.96596	-5.560277025
-1.72466	-2.273041248
-0.60706	6.761296862
0.0124968	11.65434064
0.4318	14.45672027
1.26492	22.55248361
1.86944	27.08966967
2.5654	31.98271345
3.1242	36.03059512
3.6322	39.50020799
4.2418	43.41464301
5.08	48.48561566
5.6388	52.04419295
6.1976	55.15794809
6.7564	59.16134755
7.6454	63.60956917
8.2296	66.7233243
8.763	70.2819016
9.2964	73.39565673
10.1854	77.84387835
10.7442	80.51281132
11.303	83.62656646
11.8618	86.29549943
12.7254	88.51961024
12.1412	81.84727781
11.557	76.95423403
11.0236	72.06119024
9.9568	65.38885781
9.4234	60.94063619
8.89	56.93723674
8.3312	52.48901512
7.5692	48.0407935
6.985	43.94842961
6.4516	39.90054793
5.8674	35.89714847
5.0038	29.9365315
4.445	25.84416761
3.8862	21.75180372
3.3274	17.61495762
2.5908	11.60985843
2.03708	8.362656646
1.55194	5.782688106
1.03378	2.913585161
0.60706	-5.73820589
0.0083312	-11.56537621
-0.39624	-15.52429345
-1.27762	-23.21971686
-1.59004	-26.68932972
-2.5654	-33.31717993
-3.0988	-37.09816831
-3.5814	-40.87915669
-4.064	-44.34876955
-5.1308	-50.70972647
-5.6642	-54.71312593
-5.6642	-54.26830376
-6.223	-57.82688106
-6.731	-61.38545836
-7.6454	-66.27850214
-8.1534	-69.83707943
-8.6868	-72.06119024
-9.2202	-75.61976754
-9.8298	-78.73352267
-10.16	-79.623167
-10.7442	-82.29209997
-11.2522	-84.96103294
-11.811	-87.62996591
-12.7508	-91.18854321
-12.2174	-84.51621078
-11.2776	-76.95423403
-10.795	-72.95083457
-10.1346	-68.05779079
-9.5758	-64.05439133
-9.0932	-60.05099187
-8.5852	-56.04759241
-7.62	-49.82008214
-7.1628	-45.81668269
-6.5786	-41.94672988
-6.0706	-38.29918815
-5.08	-31.53789129
-4.5466	-27.35656296
-4.064	-23.21971686
-3.556	-19.66113956
-2.5654	-12.98880713
-2.11582	-9.118854321
-1.74498	-5.293383728
-1.56972	-2.041733724
-0.4699	4.212465874
0.0249936	8.451621078
0.5715	13.43362929
1.3081	20.50630167
1.8415	25.13245215
2.5908	29.84756707
3.175	33.71751988
3.683	37.14265053
4.2164	40.47881674
5.08	45.81668269
5.6388	49.37525998
6.1976	52.93383728
6.7818	56.49241457
7.6708	61.38545836
8.2296	64.49921349
8.8392	68.05779079
9.3472	71.61636808
10.1854	75.17494538
10.7696	78.73352267
11.303	82.29209997
11.8872	85.85067727
12.7508	88.07478808
13.2588	90.74372105
13.8176	89.85407672
14.4526	91.63336537
15.24	91.63336537
15.7988	91.18854321
16.4592	91.18854321
16.9926	92.96783186
17.78	89.85407672
18.3642	89.85407672
19.0246	89.40925456
19.0246	88.9644324
18.415	81.40245565
17.6784	75.17494538
17.1704	70.72672376
16.5354	66.7233243
16.0528	62.71992484
15.24	57.3820589
14.6812	54.26830376
14.1224	49.82008214
13.462	46.26150485
12.6746	41.90224766
12.0396	37.67643712
11.5316	34.8740575
10.9982	31.80478458
10.1092	27.35656296
9.5504	23.6200568
8.9916	21.08457048
8.4328	18.14874421
7.6708	15.12395351
7.112	12.32157389
6.5786	10.40883859
5.9944	6.983707943
5.1054	3.398441318
4.572	0.925230097
3.8608	-1.886045967
3.8608	-1.717013545
3.8608	-1.205468059
3.8354	0.814024556
3.4544	-3.696472166
2.49428	-10.00849865
1.97866	-12.27709167
1.56464	-14.59016691
1.17856	-16.63634886
0.57912	-19.39424626
-0.037592	-22.01869702
-0.40386	-24.91004107
-1.3208	-29.00240496
-1.89738	-32.69442891
-2.6162	-36.43093507
-3.1496	-39.58917242
-3.6576	-42.74740977
-4.2164	-46.26150485
-5.1054	-50.70972647
-5.6388	-53.8234816
-6.1722	-56.93723674
-6.731	-60.05099187
-7.6708	-64.94403565
-8.2296	-68.05779079
-8.763	-71.17154592
-9.3218	-74.28530105
-10.2108	-77.84387835
-10.7696	-80.51281132
-11.303	-83.18174429
-11.8364	-85.85067727
-12.827	-88.9644324
-13.3858	-90.29889889
-13.9446	-91.18854321
-14.605	-91.63336537
-15.24	-91.63336537
-15.875	-91.63336537
-16.4338	-91.18854321
-17.0434	-91.63336537
-17.8308	-91.63336537
-18.4404	-91.18854321
-19.0754	-90.29889889
-18.6182	-84.51621078
-17.7546	-76.50941186
-17.2212	-72.50601241
-16.6624	-68.94743511
-16.1544	-64.94403565
-16.1544	-64.94403565
-15.24	-59.60616971
-14.6812	-56.49241457
-14.1224	-52.48901512
-13.589	-48.93043782
-12.7	-43.68153631
-12.1666	-40.25640566
-11.6078	-36.7867928
-11.0236	-33.31717993
-10.1092	-28.73551167
-9.6012	-25.22141659
-9.017	-23.26419907
-8.4836	-20.10596172
-7.5946	-15.16843572
-7.0866	-12.81087827
-6.7056	-10.14194529
-6.1722	-7.428530105
-5.1816	-4.848561566
-4.8006	-2.655588307
-3.4798	3.140444464
-2.52222	5.159937079
-1.99136	7.517494538
-1.29794	9.430229834
-0.65278	12.58846718
0.0083312	15.39084681
0.63246	18.54908416
1.15824	21.66283929
1.71196	24.42073669
2.5908	27.71242069
3.2004	30.95962248
3.7592	32.69442891
4.318	36.11955955
5.1054	39.90054793
5.6388	42.48051647
6.223	45.81668269
6.858	48.48561566
7.6708	51.15454863
8.2296	53.8234816
8.8138	56.49241457
9.398	59.60616971
10.2362	62.27510268
10.795	64.94403565
11.4046	66.7233243
11.9888	69.83707943
