Bayrak_&_Sheikh_02_RS-15HT	
29	
0	0
9.947452035	92.43549285
18.66063791	136.5323928
24.79123386	158.2142194
29.47166891	159.3187303
38.02598884	154.1767217
39.3172838	151.2344533
38.99140495	146.8256915
41.57399487	146.0924448
48.03046967	143.1501764
52.54796529	142.4169296
53.67632083	138.7414145
53.5133814	134.3326527
54.48287099	131.3903843
57.06546091	128.81938
62.06770133	125.515129
68.52010265	122.5728606
68.84190802	116.6883237
68.19829728	111.5463152
66.90700232	106.7662892
68.36123671	104.5665491
69.32665282	99.78652311
67.06994175	87.29348431
76.10493299	81.78021162
82.23552894	75.16242807
85.30286366	70.39168368
84.4963135	62.29812512
70.45908184	14.8969742
62.3895067	-6.413588268
