"Umehara and Jirsa, 1982, Spec. CUS"	
-1.423	-35.547
-2.035	-43.203
-2.4787	-55.235
-2.7849	-64.532
-3.2131	-78.747
-3.6416	-90.779
-4.0089	-108.28
-4.3454	-127.42
-4.6055	-141.64
-4.8964	-156.95
-5.1869	-168.98
-4.728	-132.89
-4.4371	-107.74
-4.177	-86.407
-3.9477	-68.357
-3.7945	-54.141
-3.2131	-43.203
-2.6929	-31.172
-2.1115	-16.406
-1.4689	-15.312
-0.96396	-15.859
-0.53553	-16.406
0.53553	7.1092
1.3924	24.062
1.6219	30.078
2.035	50.311
2.4328	66.72
2.9378	83.124
3.3355	97.892
3.8252	116.48
4.3302	141.64
4.8809	156.41
5.5235	160.78
6.1816	166.25
6.7478	168.98
7.4668	174.45
6.809	129.06
6.3345	100.62
5.8448	69.998
5.2177	30.078
4.9116	10.391
3.9629	-2.1875
3.1214	-12.031
2.0809	-21.328
1.0864	-28.437
0.061204	-30.078
-1.5607	-43.203
-2.8153	-55.235
-4.0089	-86.954
-5.7683	-127.97
-7.4056	-161.33
-7.9411	-168.44
-7.3292	-135.08
-6.9159	-108.83
-6.411	-80.936
-5.9827	-55.782
-5.5695	-26.797
-4.9116	-19.141
-4.2078	-14.218
-3.6109	-13.125
-2.7849	-14.766
-1.5607	-14.218
-0.74973	-9.8439
-0.73444	-12.578
0.47432	-0.54688
1.3465	6.0155
2.0503	10.938
3.1062	24.609
3.8865	38.281
4.6515	53.594
5.1869	65.626
5.7379	78.205
6.2428	91.326
6.717	103.91
7.1148	114.84
7.4516	123.59
6.7782	92.968
6.2885	69.998
5.7379	39.375
5.1717	13.125
4.1618	2.1875
3.0907	-8.203
1.729	-21.875
0.38252	-19.687
-0.44371	-20.234
-1.576	-13.672
-2.3869	-17.5
-3.1214	-22.422
-4.0241	-36.093
-4.8504	-47.576
-5.6459	-58.513
-6.3345	-77.111
-6.5946	-86.407
-6.7782	-92.421
-7.1915	-105
-7.5738	-116.48
-7.176	-92.968
-6.8395	-78.747
-6.4722	-63.437
-6.1051	-49.217
-5.539	-25.703
-5.1869	-8.7501
-4.7739	-9.2968
-3.9169	-2.7344
-3.0907	0.54688
-1.6066	-1.0938
-0.44371	0
0.88745	0
1.9738	3.2812
2.3716	1.0938
3.2438	2.1875
3.8712	14.218
4.4831	26.25
5.0952	38.828
5.7991	54.688
6.3497	68.357
6.8242	80.389
7.2372	91.873
7.4516	98.439
7.1148	82.03
6.6865	63.437
6.3652	46.486
6.0744	32.812
5.7991	18.594
5.4778	3.8281
4.0701	-3.2812
2.8461	-8.203
1.6372	-2.1875
1.3159	-12.578
0.48964	-15.859
-0.96396	-18.594
-2.494	-22.969
-3.4732	-26.797
-5.0952	-42.109
-5.3553	-46.486
-5.7071	-60.702
-6.0439	-73.281
-7.4516	-113.2
-7.635	-120.31
-7.1915	-96.797
-6.763	-76.563
-6.3345	-58.513
-6.0439	-43.203
-5.6766	-24.609
-5.1717	-10.938
-4.682	-8.7501
-3.8865	-1.0938
-3.2743	1.6406
-1.9432	0
-0.015301	-0.54688
1.6678	-2.7344
3.2896	-2.1875
3.8865	13.125
4.5596	27.344
5.447	45.939
6.304	61.249
7.2832	77.658
8.033	91.326
8.8285	106.09
9.4407	117.03
10.099	127.42
9.2875	90.779
8.2471	47.576
7.635	21.328
7.0843	-4.9217
6.6558	-26.25
5.493	-22.969
3.7488	-22.969
2.0503	-21.328
0.30602	-20.234
-1.7137	-19.687
-3.2896	-18.594
-4.4679	-41.562
-5.0952	-49.217
-7.0536	-79.294
-8.1859	-98.986
-9.0886	-113.2
-10.221	-130.16
-9.716	-110.47
-9.0581	-84.218
-8.3388	-58.513
-7.7117	-31.719
-7.2525	-10.938
-6.8242	7.1092
-4.2842	1.0938
-2.9225	2.7344
-1.3618	-1.0938
0.42842	-2.1875
1.7596	-1.6406
3.4275	-2.1875
4.3454	0
5.2941	12.031
6.2581	22.969
6.7782	28.984
7.8494	47.029
8.7521	62.343
9.5631	75.469
10.037	84.218
8.7521	44.297
8.1399	27.344
7.6045	9.2968
7.268	-1.0938
6.7935	-15.859
6.3957	-26.25
3.6264	-25.156
0.99456	-23.515
-0.97925	-18.594
-2.2798	-18.047
-4.3454	-15.312
-5.0797	-21.875
-5.8603	-28.984
-6.7935	-35.547
-7.1608	-42.656
-7.987	-59.061
-8.6297	-70.545
-9.5019	-84.766
-10.099	-94.609
-10.313	-100.08
-9.5019	-79.294
-8.951	-62.89
-8.2931	-43.203
-7.7117	-25.156
-7.3137	-13.125
-6.8699	0.54688
-6.6711	6.5626
-5.5082	-1.0938
-4.1313	0
-2.7849	-1.0938
-1.7596	-1.6406
-0.59672	-2.7344
0.45903	-2.7344
1.3618	-2.1875
2.4481	-2.7344
2.8918	-3.2812
4.9576	2.7344
5.7683	9.8439
6.8699	19.687
7.5585	29.531
8.1707	40.468
8.6756	47.576
9.1806	58.513
9.8689	70.545
10.114	75.469
9.0274	44.297
8.2931	28.437
7.5738	8.203
7.0079	-7.6563
6.6098	-22.969
4.2537	-25.156
2.8918	-27.344
-0.19891	-19.687
-1.5454	-16.406
-2.7389	-15.859
-4.1466	-16.953
-5.0645	-19.687
-5.8755	-27.89
-6.9007	-31.719
-7.7117	-41.562
-8.6144	-55.782
-9.2418	-70.545
-10.022	-84.766
-9.1651	-63.437
-8.6297	-47.029
-8.1554	-33.906
-7.6045	-18.594
-7.1915	-5.4688
-6.8242	6.0155
-5.6154	2.7344
-3.6721	2.7344
-1.8514	-1.0938
-0.32131	0
1.423	-1.0938
2.8918	-3.2812
4.2842	-4.375
5.0188	3.2812
5.6307	8.203
6.3652	12.031
6.9924	17.5
7.4516	21.328
7.9106	26.25
8.6297	32.265
9.4099	43.203
10.236	53.594
10.986	63.437
11.828	75.469
12.332	82.577
12.715	88.048
11.552	60.702
10.894	44.845
10.068	20.781
9.1194	-6.0155
8.4	-28.984
5.3858	-27.89
3.2896	-26.797
1.729	-25.703
0.2907	-24.609
-1.27	-24.062
-2.7236	-21.875
-3.9934	-19.687
-4.8044	-19.141
-5.7226	-25.703
-6.5334	-30.625
-6.8547	-31.172
-8.3388	-48.67
-9.7008	-65.079
-10.925	-78.747
-11.828	-87.501
-12.7	-96.25
-11.353	-66.173
-10.221	-36.093
-9.303	-10.391
-8.4	8.203
-6.809	4.9217
-5.539	5.4688
-4.1006	2.7344
-3.0295	2.7344
-1.729	0.54688
-0.55082	0
0.50493	0
1.8055	0
3.1062	-1.6406
4.4831	-0.54688
6.0284	4.375
6.8699	4.375
7.8034	10.938
8.6449	15.312
10.389	34.453
12.47	55.235
11.43	35
10.588	18.047
9.8997	4.375
9.3335	-6.5626
8.905	-15.312
8.3543	-26.25
5.6459	-28.984
4.0394	-25.703
2.6469	-23.515
1.1323	-20.234
-0.36721	-21.328
-1.5148	-22.422
-2.6317	-22.969
-3.7028	-20.781
-4.4983	-20.234
-6.2885	-15.312
-7.222	-14.766
-7.7117	-17.5
-8.905	-30.625
-9.6243	-38.828
-10.405	-47.576
-11.246	-56.877
-11.95	-64.532
-12.562	-70.545
-11.338	-48.123
-10.496	-30.078
-9.9149	-17.5
-8.4767	12.031
-6.4569	2.7344
-4.1158	1.0938
-1.0558	-2.1875
0.96396	-1.0938
2.6165	-0.54688
5.0033	-8.203
5.7991	-5.4688
6.5486	-3.8281
7.4361	1.6406
8.4767	3.2812
8.905	3.2812
9.4712	10.938
10.19	19.687
10.711	24.062
11.506	34.453
12.042	40.468
12.547	44.297
12.837	46.486
11.644	27.344
11.047	19.141
10.435	9.2968
9.8997	0
9.3182	-8.7501
8.8133	-18.047
8.3543	-25.703
7.0691	-30.078
5.1717	-28.437
3.9629	-26.797
2.5399	-24.609
