"Atalay and Penzien, 1975, Spec. 6"	
1838	
0	0
0.14956	2.9066
0.64808	5.681
1.346	9.2483
1.8445	12.022
2.343	14.665
2.8915	17.307
3.0909	18.364
3.8885	22.724
4.4867	25.499
4.9853	27.877
5.733	31.18
6.381	33.558
7.3282	37.521
8.0261	40.164
8.6243	42.409
9.1229	44.391
9.5217	45.846
9.9205	47.167
10.07	47.696
9.6215	44.391
9.1229	41.353
8.7739	39.107
8.0759	34.351
6.9794	29.859
6.2814	27.084
5.2344	22.856
4.337	18.893
3.5395	14.929
2.2932	8.5878
1.7947	6.3415
0.89733	1.4533
0.44867	-1.189
0.049853	-5.0205
-1.4457	-13.08
-1.7448	-15.722
-2.7917	-21.007
-3.5395	-24.178
-4.2375	-27.084
-5.035	-30.651
-5.5834	-33.162
-6.1816	-35.672
-6.8796	-38.314
-7.6274	-40.692
-8.6243	-43.335
-9.2227	-45.183
-9.9205	-46.771
-8.824	-40.56
-8.3751	-38.05
-7.5278	-33.822
-6.9294	-30.915
-6.032	-26.688
-5.1349	-22.856
-4.4369	-19.157
-3.6891	-14.929
-2.5425	-9.1162
-1.6451	-5.0205
-0.44867	1.189
0.74778	6.6057
1.4457	10.305
2.3929	15.061
3.6891	21.931
4.2375	24.706
4.8357	27.877
5.6332	31.444
6.1816	33.954
6.6802	36.2
7.1288	38.05
7.777	40.956
8.3751	43.335
9.1229	46.108
9.5217	47.825
8.6744	41.485
8.2255	38.843
7.6274	35.275
7.1788	33.03
6.2814	28.273
5.8326	25.763
4.7859	19.95
4.0381	15.986
3.2403	12.022
2.2932	7.3984
1.2463	1.8497
0.49853	-1.8497
-0.39881	-6.2094
-3.3401	-18.232
-3.9881	-22.328
-4.4369	-24.97
-5.035	-28.009
-5.3343	-30.387
-5.7828	-33.03
-6.431	-35.936
-7.0292	-37.785
-8.0261	-40.56
-8.7739	-42.938
-9.5717	-45.579
-9.6713	-46.504
-9.1727	-41.881
-8.5247	-37.785
-7.8268	-34.747
-7.079	-31.576
-6.381	-28.273
-5.733	-25.102
-5.1349	-22.46
-4.5364	-19.289
-3.8387	-15.722
-3.0909	-12.022
