"Sugano 1996, No.UC15H"	
633	
0.00243	0.25
0.01134	0
0.00891	0
0.004455	0.25
0.004455	0.5
0.00243	0.75
0.069660001	10.5
0.105705002	18.75
0.159570007	31
0.206955015	41
0.258795029	50.75
0.308205048	61
0.357615075	70.5
0.400545106	79
0.465750166	91.5
0.517590228	100.5
0.575910314	112.25
0.620865394	120.75
0.677160511	130.5
0.731430644	140
0.807570867	153.75
0.74479568	132.25
0.661365476	112.75
0.519615231	73
0.402570107	47.5
0.29038504	21.25
0.195615012	0.25
0.119070003	-16.5
0.074115001	-25.25
0.02268	-37.75
-0.033615	-49.25
-0.089910001	-61
-0.137295004	-70.25
-0.18225001	-79.5
-0.22963502	-88.5
-0.292410041	-100.75
-0.351135071	-112
-0.398115104	-120.75
-0.463320164	-132.25
-0.515160225	-141.5
-0.5670003	-151.25
-0.632205416	-162.5
-0.690930543	-173.25
-0.746820686	-181.75
-0.798660839	-190.25
-0.724545626	-164.75
-0.616410386	-139.75
-0.510705219	-112
-0.3936601	-85.25
-0.249885026	-53.25
-0.132840004	-26.5
-0.02025	-1.5
0.076545001	19
0.166455008	39
0.260820029	59
0.357615075	80.5
0.413910117	92.75
0.528930244	116.5
0.630180412	137.75
0.729000638	157.5
0.814455889	174.5
0.893431174	189.5
0.987796587	206
1.061911971	219.5
1.1340024	231.75
1.215002952	243.5
1.338933951	262.5
1.273323398	240
1.142912457	211
0.9695715	172.75
0.843615988	142.5
0.70632058	112.5
0.560115289	80.5
0.411885115	48.5
0.270135032	18.25
0.18468001	0.5
0.074115001	-23.25
0.00891	-37
-0.108135002	-62.25
-0.227205019	-87.5
-0.382320092	-120.75
-0.517590228	-147.75
-0.652455457	-174.75
-0.740340668	-192.25
-0.803115853	-204.25
-0.875206104	-217.25
-0.95863645	-231.75
-1.048546898	-245.75
-1.140887444	-257
-1.215002952	-267.5
-1.33650393	-278.25
-1.253073239	-249.25
-1.136432416	-225.25
-0.976456533	-192
-0.843615988	-164.5
-0.663795481	-122.75
-0.503820211	-88.75
-0.384750094	-62.75
-0.234090021	-31.75
-0.092340001	-1.5
0.01782	21
0.150660006	48.25
0.31266005	80.75
0.411885115	101.75
0.551205276	129.5
0.675135507	154
0.816885897	180.75
0.9695715	210.75
1.100387193	235.25
1.228368051	258.25
1.345414009	277
1.446664984	292.25
1.552371158	305.75
1.624462056	309.75
1.698578067	315.75
1.795374526	321.25
1.887716073	324
1.957377344	325.5
2.025013669	325.25
1.980057779	304.75
1.865440685	281.75
1.716803329	254.5
1.536575972	221.75
1.359184133	181.5
1.199207839	150.75
1.014931721	114.5
0.812430883	76.25
0.623295399	40
0.490455194	15.5
0.416340119	1.75
0.294840042	-20.75
0.155115006	-46.75
0.006885	-74.5
-0.119070003	-98.75
-0.26325003	-125
-0.384750094	-147.5
-0.524070237	-173
-0.652455457	-195.5
-0.814455889	-223.5
-0.944866389	-244.5
-1.073252035	-263
-1.21743297	-284.25
-1.338933951	-296.5
-1.460435127	-300.75
-1.554801187	-301.25
-1.633372173	-299.5
-1.703438136	-299.75
-1.766214069	-302.5
-1.851670451	-308.5
-1.93955701	-313
-2.0116484	-317
-1.973172646	-297.75
-1.849645416	-275.25
-1.701008102	-251
-1.536575972	-223.25
-1.359184133	-193.5
-1.149797502	-152.5
-0.92907132	-114
-0.711180592	-76
-0.465750166	-33.75
-0.274590034	-1.75
-0.162000007	18
-0.004455	44.75
0.177795009	74
0.341820066	100.75
0.402570107	111.25
0.571455307	137.75
0.720090615	161.75
0.816885897	176.25
0.983341565	202
1.118207302	221.5
1.24416317	239.5
1.343388991	253.5
1.541436029	281
1.637827232	293.25
1.768644107	308.75
1.847215375	315.25
1.880830952	315.75
1.95292226	322.25
2.029468759	323.5
2.121810724	330
2.223063084	336.75
2.351451402	342.5
2.412203104	343.5
2.544642122	349
2.628074878	350.75
2.726898377	351
2.84637796	350.5
2.931836482	350.5
3.012840016	348.5
2.95654254	329.25
2.787650658	303.25
2.600938962	276.75
2.328770789	237.5
2.025013669	194
1.788894423	155
1.511870688	113.25
1.251048223	73.5
1.021411754	39.5
0.863866061	15.75
0.753705705	0.75
0.571455307	-25.5
0.409455113	-49.75
0.211410016	-78.25
-0.006885	-108.5
-0.186705011	-133.5
-0.400545106	-163.5
-0.594135345	-188.75
-0.801090846	-215.5
-1.005616674	-241
-1.21743297	-265.5
-1.347844031	-277.25
-1.480685344	-291
-1.617576967	-303
-1.741508694	-314
-1.869895762	-322.5
-2.016103489	-332.25
-2.126265823	-339.5
-2.202812595	-342.5
-2.326340724	-348
-2.398432711	-349
-2.531276697	-354.25
-2.619164576	-357.5
-2.736213721	-360
-2.810331536	-360.75
-2.924951191	-361.75
-3.028635728	-362.25
-2.920496003	-330.75
-2.839492685	-319.5
-2.745124051	-307
-2.607824193	-289.25
-2.360361646	-257
-2.047694133	-216.5
-1.790919455	-176
-1.498505539	-136.75
-1.212572935	-97.75
-0.9695715	-65.25
-0.708750586	-31.25
-0.486000189	-2.25
-0.276615035	24.25
-0.119070003	45
0.006885	60.75
0.238545022	89.5
0.425250127	111.75
0.643545439	138
0.821340912	158.5
1.03963685	183
1.239708136	204.5
1.482710366	230.75
1.633372173	245.25
1.86746572	267.25
2.029468759	281.25
2.245338633	300.5
2.42556849	314
2.64387042	328.5
2.848403041	340.25
3.042001336	350
3.165937233	352.75
3.264762279	355
3.408950208	359.5
3.548278534	361.25
3.688012568	363.75
3.802635508	364.75
3.879186085	365
3.964647576	364.75
4.067930803	364
3.993809856	340.5
3.789269557	314.75
3.570959954	290.5
3.282988244	257.75
3.00149951	216.75
2.702192478	181
2.42556849	148.75
2.067944557	106.25
1.754873896	69.75
1.390369424	28
1.156682547	1.75
0.924616301	-24.25
0.643545439	-55.75
0.409455113	-81
0.227205019	-100
0.006885	-123.5
-0.195615012	-144.5
-0.396090102	-165
-0.591705341	-184
-0.77638577	-201.25
-1.019386744	-224.5
-1.197182824	-240.5
-1.419934713	-259.25
-1.624462056	-276
-1.820079925	-290
-2.020558579	-304
-2.236428412	-316
-2.418683291	-326.25
-2.641440337	-337.25
-2.835037508	-346
-3.021750417	-349.25
-3.240055988	-353.75
-3.374928275	-355.25
-3.498865505	-356.5
-3.653990304	-357.25
-3.78238407	-358.25
-3.910778452	-359
-4.077246566	-359
-3.960192231	-330
-3.757677336	-307.5
-3.541393107	-283
-3.280558114	-255.25
-2.967883031	-221.5
-2.64387042	-181
-2.38709239	-152.5
-2.027443718	-112.75
-1.72368843	-80.5
-1.372549256	-44.5
-1.142912457	-22.5
-0.940411369	-2.75
-0.636660425	27
-0.371385084	52
-0.162000007	70.75
0.01782	87.5
0.436590137	125.75
0.839160973	161
1.262388312	196.75
1.637827232	226
2.03392385	255
2.443389012	284
2.850833138	307.5
3.080478117	318.5
3.264762279	325.75
3.478614288	335
3.667761216	341.25
3.843138431	344.75
4.041198633	348
3.867845245	317.75
3.602146935	289
3.298379067	256.75
2.877969238	213.5
2.450274215	168.75
2.047694133	127.25
1.660507537	89.5
1.215002952	45
0.902341209	16.25
0.711180592	0.25
0.389205097	-29.25
0.006885	-63.75
-0.396090102	-99
-0.798660839	-133.5
-1.206092888	-166.75
-1.624462056	-199.5
-2.0363539	-230.75
-2.42556849	-257.25
-2.841922782	-283.5
-3.042001336	-294
-3.251396578	-305
-3.44945256	-314.25
-3.658445598	-322.5
-3.863389916	-329.25
-4.081701932	-334.25
-3.919689126	-303.5
-3.656420465	-274.5
-3.228715403	-228.75
-2.835037508	-188
-2.461614553	-149.75
-2.0116484	-105
-1.62243703	-67.25
-1.203662871	-29.5
-0.870751087	-2
-0.519615231	28
-0.220320018	57.5
-0.047385	73.5
0.332910061	108
0.839160973	151
1.253073239	185
1.714373294	219.5
2.025013669	242.25
2.441363952	270.5
2.891334787	297.5
3.267192407	315.25
3.622398239	330.25
4.047679157	345.75
4.315812318	352
4.470942104	353.5
4.713967419	357
4.884896862	358
5.215823554	359
5.458857745	359.25
5.746857394	357.25
6.151928212	354.75
6.140586096	328.75
5.996784946	302.25
5.746857394	280.5
5.404579838	251.25
4.875985814	206.5
