"""Thompson and Wallace, 1994, B2"""	
635	
0.83058	9.081932816
0.76708	7.642933322
0.71882	5.877879229
0.6604	4.167538255
0.6096	2.565733873
0.56134	1.153868527
0.54102	1.370941712
0.60706	2.75567291
0.60706	4.683531891
0.7112	6.801329909
0.7747	8.376000143
0.83058	9.73315237
0.88392	11.09074942
0.9398	12.63828551
0.99568	13.86021181
1.0287	14.64754693
1.1049	15.00029086
1.01854	12.85580351
0.96012	11.09074942
0.90678	9.380408445
0.8636	7.751469915
0.82042	6.638080198
0.81788	6.312470421
0.7747	4.602129447
0.7112	3.81479433
0.65532	2.212545125
0.59944	0.801124602
0.55372	-0.122326078
0.55626	0.23086267
0.6096	1.778398756
0.65532	2.511465577
0.71628	5.253349001
0.7493	6.421007014
0.83312	8.23988458
0.88392	9.461810889
0.93472	11.19928601
0.9906	12.42121232
1.0414	14.10441915
1.04902	14.21295574
0.98552	12.36694402
0.93472	9.923536229
0.889	8.457402587
0.84328	7.344012871
0.80518	6.231067977
0.79502	6.258202125
0.69342	3.190264101
0.56134	-1.316673416
0.43942	-3.325934842
0.28194	-6.828464057
0.10414	-10.08634112
0.1016	-9.461810889
0.2794	-4.357477292
0.43434	-0.502204151
0.56134	3.108861657
0.7239	6.746616791
0.87884	10.49335334
1.03378	13.96874841
1.17856	17.09095473
1.36906	19.83328297
1.524	21.70642884
1.59004	21.02763031
1.44018	16.7924791
1.26746	12.7468221
1.08966	8.918683105
0.93472	5.335196267
0.82804	2.999880242
0.82804	3.027459213
0.70866	0.176594374
0.57404	-2.484331429
0.42672	-6.339604569
0.25908	-8.891548957
0.07112	-12.47548062
0.1016	-10.6294689
0.2413	-5.715074341
0.41402	-1.39807586
0.58928	2.104008533
0.73914	5.850745081
0.90424	9.081932816
1.05664	12.25840743
1.22174	15.19067472
1.39446	17.93255814
1.55194	21.05476446
1.61036	20.1860269
1.4097	16.00514398
1.23698	12.09560254
1.07188	8.538805032
0.91694	4.792068483
0.83058	2.918477798
0.82296	2.674270465
0.5969	-1.941203644
0.25908	-8.674475772
-0.1143	-16.27648546
-0.4572	-22.8469527
-0.80264	-27.24535363
-0.73914	-23.09116003
-0.39878	-15.27207716
-0.0508	-7.697201618
0.32258	-0.285130966
0.6223	5.715074341
0.9398	10.71087135
1.2954	17.36274103
1.67386	22.87408685
2.04978	26.78362829
2.44348	29.36315164
2.54508	27.84274971
2.19202	20.53921565
1.82626	13.88734596
1.45288	7.697201618
1.08712	2.674270465
0.889	-0.149460226
0.75946	-2.999880242
0.41656	-8.647341624
0.03556	-15.32634546
-0.29464	-21.21801417
-0.65532	-26.05056146
-0.8128	-26.48515266
-0.49784	-18.28574689
-0.1651	-11.09074942
0.19812	-3.407337286
0.51816	2.212545125
0.86614	8.131347988
1.22174	13.64313863
1.60528	18.66562496
1.9812	23.19969663
2.34696	27.10968288
2.66446	30.0143712
2.32664	22.8469527
1.95072	15.73335768
1.57734	10.24914601
1.2065	4.683531891
0.90678	0.285130966
0.86614	-0.339399262
0.66548	-4.221806551
0.09652	-13.75167522
-0.43434	-22.33095906
-0.87122	-28.46683511
-1.29032	-33.38122967
-1.72212	-36.58483844
-1.58242	-31.04635847
-1.15062	-22.98262344
-0.7112	-15.54341864
-0.28956	-8.755878216
0.14478	-1.39807586
0.5334	4.411745588
0.96012	11.90521868
1.39954	17.09095473
1.85928	21.95108099
2.26568	26.6208234
2.74828	31.48050484
3.22072	34.63029013
3.71094	37.10083207
3.36296	30.74743802
3.00736	24.88334827
2.4765	16.6839425
1.91516	9.706018222
1.39954	3.054593361
0.97028	-2.945611946
0.93472	-3.787660182
0.9398	-3.135995805
0.56134	-9.624615778
0.00762	-17.38987518
-0.52832	-23.60715367
-1.0922	-29.47168824
-1.62052	-34.92876576
-1.53162	-30.44896239
-1.34112	-26.72935999
-1.17348	-23.68855611
-0.98044	-20.4035449
-0.44958	-12.01375528
0.04064	-3.515873878
0.5334	4.629263595
1.0668	12.36694402
1.64592	18.28574689
2.21234	23.52575122
2.57048	26.75649414
2.82956	29.22703608
3.19024	32.24070581
3.54076	35.55329599
3.65506	34.79309502
3.30708	28.43970096
2.96418	23.09116003
2.6035	17.95969229
2.26314	13.58887033
1.90246	9.434676741
1.36398	2.538599725
0.96012	-2.701404613
0.91694	-3.027459213
0.91186	-3.054593361
0.9144	-2.864209502
0.90424	-3.108861657
0.43942	-11.06361527
-0.28956	-20.56634979
-1.03378	-28.43970096
-1.74244	-36.04171065
-2.5019	-41.98764766
-2.49682	-37.671094
-2.23266	-32.3492424
-2.04978	-30.77457217
-1.89484	-27.48956096
-1.64338	-23.44434878
-0.9652	-14.32193715
-0.23114	-3.869062626
0.43434	5.823610933
1.16586	14.0230167
1.94056	21.02763031
2.72796	27.97842045
3.4925	34.82022917
4.30784	40.65762958
4.54406	37.94243549
4.14782	31.53477314
3.99034	29.52595653
3.82524	27.10968288
3.6703	25.04615316
3.23596	19.77901468
2.78638	14.62041278
2.31902	9.570347482
1.88214	4.194672403
1.45034	0.285130966
1.05918	-4.248940699
0.9906	-4.900605076
0.99568	-4.792068483
0.51308	-11.60674306
-0.23622	-20.48494735
-0.99822	-27.51669511
-1.73482	-34.19569894
-2.47396	-40.41297743
-2.45618	-36.17782622
-1.7145	-24.53015953
-1.03632	-15.43488205
-0.29972	-6.04112894
0.38862	4.248940699
1.09982	12.6925538
1.89484	19.72474638
2.67208	25.83348828
3.47726	32.2949741
4.27482	37.69822815
4.61264	38.05097208
4.21386	32.51249211
3.9243	28.05982289
3.60172	23.76995856
3.26644	19.61620979
2.82448	15.00029086
2.18948	8.267018729
1.48844	0.36653341
1.0287	-4.629263595
0.9906	-4.737800187
