Bayrak_&_Sheikh_02_RS-19HT	
24	
0	0
9.24681322	150.2041975
12.59114523	189.2333424
17.49562237	190.2450372
25.30042155	182.1236337
28.20074358	176.5361081
35.11344932	171.4590707
39.57391649	162.8178974
44.70243536	150.1206631
48.49077734	144.5424191
47.37871567	126.7681474
50.72304767	119.1479505
50.94301592	104.9285332
50.27496421	94.26397022
62.09622058	87.65546818
66.55261427	84.61110206
65.66052083	76.99090518
68.11683289	74.45702729
63.43232399	48.55207052
74.35741344	43.98552136
81.93817089	42.96454492
81.27011919	38.39799575
66.776656	2.849452428
59.86395026	-6.292927512
