"Azizinamini et al., 1988, Spec. NC-2"	
1019	
0	0
0.71346	25.168
1.4269	50.338
2.1404	76.265
2.9253	104.48
3.5674	133.47
3.8527	155.58
4.2807	183.8
4.6375	206.68
4.9228	227.28
5.2083	247.86
5.8504	267.7
6.3497	287.53
7.206	310.4
7.7767	332.52
8.2047	342.44
8.4188	353.11
7.5626	316.51
6.778	283.71
6.1359	254.73
5.4938	224.22
4.7089	197.53
4.2095	170.84
3.7813	144.15
3.2819	116.69
2.7826	90.757
2.069	59.488
1.3556	32.032
0.92751	16.779
0.49941	0
0	-16.016
-0.28539	-35.083
-0.64211	-56.436
-1.1416	-79.317
-1.641	-98.385
-2.2117	-121.27
-2.6398	-138.04
-2.7826	-158.63
-3.0678	-178.46
-3.3533	-198.29
-3.6386	-214.31
-3.7813	-226.51
-4.2095	-244.05
-4.9941	-262.36
-5.5649	-277.61
-6.2073	-295.92
-7.0632	-312.69
-7.7767	-331.76
-8.3475	-345.49
-7.7053	-322.61
-6.9205	-292.87
-6.1359	-266.17
-5.779	-249.39
-5.1369	-222.7
-4.1382	-186.09
-3.5674	-163.98
-3.0678	-149.48
-2.3544	-127.36
-1.9264	-113.64
-1.2842	-92.283
-0.85616	-72.453
0	-32.795
0.64211	15.254
1.5696	55.676
2.069	74.74
2.4258	92.283
2.8539	112.11
3.2819	129.65
3.4961	138.8
3.7813	154.06
4.1382	179.23
4.2807	194.48
4.7089	218.12
5.2083	246.34
6.0645	269.22
6.8494	294.39
7.4915	314.98
7.9908	331.76
8.3475	342.44
6.9919	295.15
6.4925	268.46
5.9931	241.77
5.6363	215.83
4.9228	191.43
4.4234	164.74
3.924	147.96
3.7099	132.71
3.2819	108.3
2.8539	89.231
1.9264	51.099
1.4983	27.456
1.1416	7.6265
0.71346	-12.965
0.21404	-30.507
-0.071346	-48.047
-0.49941	-70.167
-1.7123	-121.27
-2.4258	-147.19
-2.9253	-166.26
-3.3533	-183.8
-3.7813	-201.34
-4.352	-221.94
-5.4938	-258.54
-6.4925	-284.48
-7.5626	-313.46
-8.3475	-334.81
-7.5626	-309.64
-6.4211	-277.61
-5.7076	-253.97
-5.2796	-233.38
-4.9228	-212.78
-4.2095	-186.09
-3.4961	-160.16
-2.6398	-131.94
-1.9977	-110.59
-0.99885	-77.791
-0.49941	-55.676
-0.071346	-33.557
0.42807	6.8642
1.3556	42.709
2.1404	73.214
3.0678	106.77
3.6386	131.94
4.0668	151.77
4.7089	179.99
5.351	205.16
