Saatcioglu and Grira1999 Column BG-6	
-6.001172	-132.4739818
-6.500767	-133.8685714
-7.000362	-139.2255319
-7.517184	-142.5548936
-8.016779	-142.8125228
-8.516374	-147.4458967
-9.015969	-149.3573252
-9.515564	-152.2679635
-10.01516	-155.3853495
-10.51475	-157.0210942
-11.01435	-161.0342857
-11.51394	-164.0482675
-12.01354	-167.0967173
-12.51313	-168.2156839
-13.01273	-170.6094833
-13.51233	-172.8654711
-14.01192	-175.2248024
-14.51152	-175.8613982
-15.01111	-178.0139818
-15.51071	-181.1657751
-16.0103	-183.2150152
-16.5099	-183.5070517
-17.02672	-184.3556839
-17.50909	-187.6744681
-18.00868	-188.2421277
-18.50828	-189.6367173
-19.00787	-190.0665653
-18.49105	-130.506383
-17.99146	-124.5292401
-17.49186	-118.6555015
-16.99227	-112.7817021
-16.49267	-109.8366565
-15.99307	-103.3426748
-15.49348	-99.536231
-14.99388	-94.42048632
-14.49429	-88.61568389
-13.99469	-84.46462006
-13.4951	-81.00273556
-12.97828	-74.77908815
-12.49591	-69.66869301
-11.97908	-63.99635258
-11.49672	-62.09021277
-10.99712	-55.25170821
-10.49753	-50.34268693
-9.980704	-45.15269909
-9.498337	-40.62800608
-8.981514	-35.92039514
-8.499146	-31.25786626
-7.999552	-26.07320365
-7.499957	-21.81882067
-6.983134	-16.66329483
-6.483539	-11.47862614
-5.983944	-6.879696049
-5.484349	-1.143744073
-4.984754	4.626662006
-4.485158	7.606200608
-3.985563	12.27404255
-3.485968	18.1133617
-2.986373	21.91982371
-2.486778	28.17260182
-1.987183	32.39252888
-1.487588	36.85364134
-0.9879924	41.34920365
-0.4883973	47.25742857
0.01119782	52.75220061
0.510793	57.3511307
1.010388	65.98133739
1.509983	67.2381155
2.009578	70.25209726
2.509173	77.84863222
3.008769	79.65671733
3.508364	86.73641337
4.007959	89.19908815
4.507554	94.65945289
5.007149	99.18942249
5.506744	103.4782371
6.00634	105.527538
6.505935	111.02231
7.00553	112.4168997
7.505125	118.7041337
8.004721	123.2686322
8.504315	127.4195745
9.003911	130.9504559
9.503506	135.1358663
10.0031	137.8742249
10.5027	142.2319757
11.00229	144.2123404
11.50189	149.5348328
12.00148	151.1017021
12.5183	155.4992097
13.00067	160.2651064
13.50027	161.8319149
14.01709	164.541155
14.53391	166.940304
15.01628	170.0867477
15.51587	171.9293009
16.01547	175.4600608
16.51506	179.9212158
17.01466	183.1074772
16.49784	128.3020669
15.99824	128.18231
15.49865	116.5201216
14.99905	113.6783587
14.49946	106.4953191
13.99986	101.2072948
13.48304	97.49890578
12.98344	92.41762918
12.48385	85.47574468
11.98425	77.01781155
11.48466	74.86522796
10.96784	63.99015198
10.48547	62.53191489
9.985873	55.6589848
9.486279	51.85251672
8.986683	43.05005471
8.487088	38.86458967
7.987493	32.09499088
7.487897	25.60102736
6.988302	21.55338602
6.488707	12.26855319
5.989112	10.97731915
5.489517	1.279025532
4.989922	0.642435258
4.490326	-8.676851064
3.990731	-13.68924012
3.491136	-20.56221277
2.991541	-21.61227356
2.491946	-26.72802432
1.992351	-31.22359271
1.492756	-36.27044377
0.9759333	-41.18479027
0.4935656	-44.8481155
-0.006029591	-49.65378116
-0.5056247	-56.21665046
-1.00522	-59.95420669
-1.504815	-68.17094225
-2.00441	-70.28911854
-2.504005	-76.67969605
-3.003601	-80.14158055
-3.503196	-84.70607903
-4.002791	-88.96048632
-4.502386	-92.76693009
-5.001981	-96.50443769
-5.501576	-99.58735562
-6.001172	-104.1518541
-6.500767	-106.3389058
-7.000362	-110.6966565
-7.517184	-112.3033435
-8.016779	-116.316535
-8.516374	-117.7111246
-9.015969	-124.067234
-9.515564	-125.5307599
-10.01516	-129.6817629
-10.51475	-134.2807295
-11.01435	-135.8475988
-11.53117	-136.9718541
-12.01354	-140.4973252
-12.51313	-143.8903343
-13.01273	-146.5253495
-13.51233	-147.8165957
-14.01192	-151.726383
-14.51152	-152.8108815
-15.01111	-158.443465
-15.51071	-159.5279635
-16.0103	-163.9546505
-16.5099	-165.314772
-17.00949	-168.6043769
-16.49267	-121.3446809
-15.99307	-115.608693
-15.49348	-108.4601216
-14.99388	-104.5848024
-14.49429	-97.60844985
-13.99469	-95.42139818
-13.4951	-89.03082067
-12.9955	-83.15702128
-12.49591	-79.69513678
-11.99631	-73.58018237
-11.49672	-69.67033435
-10.99712	-64.41677812
-10.49753	-61.50613982
-9.997932	-53.11716109
-9.498337	-50.68891185
-8.998742	-43.26465653
-8.499146	-38.07998176
-7.999552	-33.4121459
-7.499957	-28.43420669
-6.983134	-23.10640729
-6.483539	-19.5411307
-5.983944	-14.14972644
-5.484349	-7.483489362
-4.984754	-3.332474164
-4.485158	2.954758663
-3.985563	6.623404255
-3.485968	12.18707599
-2.986373	17.40620669
-2.486778	21.59167173
-1.987183	24.67457751
-1.487588	32.44337994
-0.9879924	35.66410942
-0.4883973	41.57233435
0.01119782	47.10155623
0.510793	52.42404863
1.010388	57.05742857
1.509983	62.37993921
2.009578	65.22164134
2.509173	71.30212766
3.008769	76.00443769
3.525591	80.47088146
4.007959	84.61659574
4.507554	88.69866261
5.007149	93.57325228
5.506744	97.31082067
6.00634	102.3920973
6.505935	107.0944073
7.00553	111.968997
7.505125	116.2922796
8.004721	118.0658967
8.504315	122.2168997
9.003911	124.7140426
9.503506	130.1398784
10.0031	133.7396353
10.5027	137.4772036
11.00229	140.6979331
11.50189	145.0556231
12.00148	148.1730091
12.50108	150.6012158
13.00067	154.821155
13.50027	158.2831003
14.01709	162.3705167
14.51668	165.2466261
15.01628	168.2262006
15.51587	172.3772036
16.01547	174.9432219
16.51506	176.8202432
15.98102	121.9406079
15.49865	119.5866261
14.99905	111.7144681
14.49946	108.0458359
13.99986	103.10231
13.48304	94.12231003
12.98344	89.83349544
12.48385	86.99173252
11.98425	76.84553191
11.48466	74.62401216
10.98506	70.88650456
10.48547	61.46382979
9.985873	57.76074164
9.486279	52.23151976
8.986683	43.56688754
8.487088	39.38142249
7.987493	32.85300304
7.487897	30.59702128
6.988302	22.72485714
6.488707	17.36791489
5.989112	10.42603647
5.489517	-0.753827356
4.989922	-1.803880243
4.490326	-8.84912462
3.990731	-14.06824924
3.491136	-15.94522796
2.991541	-20.50970213
2.491946	-27.72722188
1.992351	-32.11942857
1.475528	-36.79258359
0.9931607	-38.56088754
0.4935656	-44.98594529
-0.006029591	-50.7218845
-0.5056247	-56.42338602
-1.00522	-61.05677812
-1.504815	-68.61884498
-2.00441	-69.84115502
-2.504005	-76.85197568
-3.003601	-78.62559271
-3.503196	-82.12194529
-4.002791	-86.27294833
-4.502386	-90.28613982
-5.001981	-95.02291793
-5.518804	-97.31866261
-6.001172	-98.74237082
-6.500767	-102.8244985
-7.000362	-108.422614
-7.517184	-112.8545897
-8.016779	-115.0417021
-8.516374	-116.0917325
-9.015969	-117.5552584
-9.515564	-124.807234
-10.01516	-127.6144681
-10.51475	-129.8704559
-11.01435	-134.9862006
-11.51394	-137.0354407
-12.03077	-137.9530091
-12.51313	-144.0970821
-13.01273	-145.9740426
-13.52955	-146.4781763
-14.01192	-149.8313678
-14.51152	-152.5697264
-15.01111	-156.6517933
-15.51071	-158.59769
-16.0103	-164.9193313
-16.52712	-165.8713678
-15.99307	-118.9853495
-15.49348	-110.2517933
-14.99388	-106.1697264
-14.49429	-99.26231003
-13.99469	-97.31641337
-13.4951	-89.65100304
-12.9955	-86.94711246
-12.49591	-81.96917933
-11.99631	-78.05933131
-11.49672	-74.18395137
-10.99712	-68.2412766
-10.49753	-63.16
