Saatcioglu and Grira 1999 Column BG-10	
11402	
0	0.273573799
0.5	29.02730699
1	39.86436474
1.5	49.18540426
2	58.78207903
2.5	65.38115502
3	74.25428571
3.5	80.1987234
4	88.69282675
4.5	93.74145897
5	100.9262614
5.5	105.8714894
6	110.8855927
6.5	116.9334347
7	120.0180547
7.5	123.6539818
8	128.6681459
8.5	128.0316717
7	53.10619453
7	52.76163526
6	32.84472948
5	25.50394529
4	8.240079027
3	1.760673556
1.989922	-10.75152584
1.490326	-19.38333739
0.9907315	-28.60087538
0.4911363	-40.02355623
-0.008458853	-49.99911246
-0.508054	-58.35527052
-1.007649	-65.36765957
-1.507244	-75.20541033
-2.006839	-82.63130699
-3	-88.79848024
-4	-95.6568997
-5	-101.0682067
-6	-107.306383
-7	-113.9236474
-8	-120.7131307
-8.5	-124.2801824
-8	-43.18908207
-7	-35.88275988
-6	-23.44261398
-5	-13.13868693
-4	-7.038285714
-3	6.780066869
-1.989612	14.15854711
-1.490017	21.44660182
-0.9904215	30.73305775
-0.4908266	39.53714286
0.008768559	49.89169605
0.510793	60.21256535
1.010388	68.29306991
1.509983	74.99544073
2.009578	81.76662614
2.509173	88.46899696
3.008769	94.24097264
3.508364	101.873617
4.007959	105.9917933
4.507554	110.0755015
5.007149	116.6744681
5.506744	122.9977508
6.00634	125.8755623
6.505935	132.6468085
7.00553	137.3162918
7.522352	139.8204255
8.004721	142.7617629
8.504315	141.0570213
7.987493	82.14978723
7.487897	74.10370821
6.988302	69.4687538
6.488707	64.17908815
5.989112	53.16986018
5.489517	51.91145897
4.989922	33.73557447
4.490326	24.89704559
3.990731	18.95273556
3.491136	4.153461398
2.991541	2.688323404
2.491946	-9.52681459
1.992351	-18.12416413
1.492756	-30.33930699
0.9931607	-35.38778116
0.4935656	-47.56846809
-0.006029591	-48.65460182
-0.5056247	-60.73192097
-1.00522	-69.74273556
-1.504815	-71.62133739
-2.00441	-83.97428571
-2.504005	-85.85288754
-3.020828	-94.93799392
-3.503196	-105.1838298
-4.002791	-111.7138602
-4.519613	-111.8406079
-5.019208	-126.3642553
-5.501576	-127.3761094
-6.001172	-132.4245593
-6.500767	-135.8881459
-7.000362	-143.3829179
-7.517184	-148.2989058
-8.016779	-153.726383
-8.516374	-157.0520973
-9.015969	-157.8970213
-8.499146	-101.332766
-7.999552	-84.56954407
-7.499957	-78.21179331
-6.983134	-68.78212766
-6.483539	-63.07902736
-5.983944	-56.20444377
-5.484349	-44.57503951
-4.984754	-37.49371429
-4.485158	-28.89635866
-3.985563	-18.09387842
-3.485968	-8.669604863
-2.986373	1.168128875
