"Paultre, Legeron,  July-August 2000 test 1006040"	
522	
0.189	0.105
2.02	3.13
3.53	20.5
6.94	55.8
8.77	73.3
14.4	116
16.2	125
18.1	135
15.9	114
11.4	78.8
9.03	54.4
7.8	42.5
5.54	18.5
3.47	-3.5
0.895	-28.2
-1.09	-48.5
-3.68	-73.5
-6.44	-98.2
-11.4	-136
-10.5	-125
-8.89	-111
-6.79	-86.9
-4.06	-58.1
-1.69	-33.8
0.0316	-15.5
1.56	-0.52
3	14.5
5.02	35
6.8	52.4
8.57	69.2
10.4	84.4
12.3	99
16.2	123
20.7	144
24	155
27.4	162
31.6	155
32.1	145
29.1	131
26.1	117
22.2	98
18.5	77.5
16.1	62.5
13.2	42.9
10.1	20.5
7.15	-2.84
3.84	-29.8
1.13	-51.5
-1.26	-71.8
-3.77	-91.6
-6.17	-110
-9.14	-132
-12	-151
-14.4	-163
-17.8	-178
-22.5	-195
-24.6	-195
-25.3	-186
-29.5	-176
-29.8	-167
-27.1	-155
-24.4	-143
-21.1	-126
-16.9	-102
-12.8	-77
-8.68	-50.6
-5.54	-28.9
-0.947	2.52
2.57	25.8
5.16	43.1
8.52	63.5
12.5	85
17.8	109
22.2	125
25.5	135
31.2	147
30.7	142
28.7	133
25.9	120
22.7	106
19.8	91.5
15.8	70.6
12	48.9
8.27	25.3
4.95	2.67
1.73	-18.6
-2.05	-43.2
-6.12	-68.9
-10.2	-92.9
-14.8	-117
-17.6	-129
-22	-147
-26.7	-162
-31.1	-172
-31.9	-162
-28.4	-146
-24.5	-129
-20.7	-108
-16.6	-88.1
-13.1	-63.7
-8.82	-41
-5.93	-21.7
-3.01	-2.71
-0.842	13
1.64	29.3
4.99	48.8
8.9	66.6
12.1	81.7
15.6	99.1
19.6	114
23.1	125
28.3	138
34	148
36.2	151
39.6	153
42.9	154
45.3	152
47.3	149
46.2	143
42.8	132
38.4	118
33.8	104
29.4	88.9
23.6	69.4
18.1	46.4
13.7	26.6
9.18	5.15
3.98	-22
-0.137	-42.8
-4.69	-67.1
-10.1	-93.7
-15.6	-117
-21.2	-138
-26.1	-153
-32.3	-166
-36.9	-173
-40.2	-175
-45.3	-176
-46.4	-177
-46.3	-171
-41.8	-154
-35.9	-134
-30.2	-115
-25.7	-98.5
-20.2	-76.2
-14.6	-50.9
-10.1	-29.6
-3.6	2.6
0.905	22.8
5.73	46.9
11.2	68.7
16.4	86.6
21.7	102
29.4	120
36.2	132
41.9	139
47.5	143
46.5	138
44.2	131
39.8	117
35.3	103
30.9	89.3
25.3	70.5
19.7	49.7
14.2	27.2
8.68	3.37
2.26	-26.9
-3.99	-55.9
-10.1	-82.3
-15.6	-104
-22.3	-126
-29	-143
-35.7	-156
-40.2	-163
-43.5	-167
-46.8	-170
-46.1	-163
-42.8	-152
-38.2	-137
-33.7	-122
-29.1	-106
-24.7	-90.3
-19	-67.9
-13.3	-43
-8.86	-22.5
-4.31	-1.04
-1.12	13.4
3.19	33
7.64	52.3
11.2	66
15.3	81
18.5	90.3
22.9	102
25.1	108
31.9	121
36.4	129
42	136
47.8	142
51.1	145
54.5	145
61.2	143
63.2	142
62.1	136
58.8	126
54.3	112
49.8	99.9
43.2	82.5
36.5	65.3
29.8	47.5
23.1	27.8
17.6	9.33
12	-10.4
6.46	-30.8
0.895	-51.9
-5.81	-77.5
-12.5	-100
-20.3	-124
-27	-140
-34.8	-155
-40.3	-163
-45.9	-169
-52.6	-171
-54.8	-171
-59.3	-171
-63.3	-167
-62.2	-162
-58.8	-151
-54.4	-137
-48.7	-120
-41.9	-102
-35.1	-83.6
-29.5	-68
-23.9	-52.2
-18.3	-34.9
-12.6	-15.9
-8.11	-0.686
-2.52	18
3.06	35.2
8.86	53.6
15.8	71.6
21.8	86.7
29.7	102
40	117
47.9	126
54.6	132
60.2	134
62.4	134
63.2	134
61	125
57.7	115
52.1	99
47.7	87.2
42.1	72.7
36.5	58.3
29.8	40.7
23.1	21.9
16.5	1.48
9.78	-19
5.33	-32.6
0.379	-47.9
-5.26	-65.6
-10.8	-81.9
-18.6	-103
-26.4	-120
-34.2	-134
-42	-145
-48.8	-153
-54.4	-158
-58.8	-159
-62.2	-159
-45.1	-109
-29.1	-54.8
-24.8	-38.4
-19.8	-17
-12.3	-4.26
-10.6	1.77
-7.84	10.8
-6.65	14
3.24	34.7
8.89	52.4
15.5	69.2
23.5	87.3
30.2	99.3
36.9	109
45	118
51.7	125
58.6	130
66.5	132
70.9	132
74.2	130
79.3	125
83.9	123
87.2	122
89.4	120
89.4	118
88.4	114
83.9	102
78.3	87.6
72.7	74.2
68.3	63.8
62.7	51.7
56	37
49.3	23.7
42.6	11.2
35.9	-0.908
29.2	-13.5
23.7	-24.3
19.2	-33.5
10.3	-51.2
3.63	-63.5
-1.94	-74.8
-7.51	-86.2
-12	-94.5
-18.6	-107
-25.3	-119
-30.9	-127
-35.4	-133
-38.7	-137
-44.3	-143
-52.1	-150
-59.9	-154
-66.5	-155
-70.5	-153
-78.3	-148
-83.8	-142
-86.1	-134
-90.5	-128
-93.6	-123
-91.4	-114
-86.7	-102
-81.2	-87.7
-75.6	-73.4
-69.9	-59.5
-64.1	-47.3
-58.4	-35.1
-52.8	-23.1
-47.1	-12.9
-40.1	-1.29
-39	0.349
-32.2	10.7
-25.3	20.6
-16.3	34
-6	47
3.06	58.3
11	66.9
22.3	79.7
31.2	89.1
40.2	97
49.3	104
56.1	109
59.6	111
64	111
68.4	113
72.9	113
77.3	114
81.9	114
86.3	113
91	111
91.6	110
90.5	98.7
84.9	84.7
79.4	71.2
73.7	57.7
69.3	47.4
61.5	31.2
53.7	15.2
47.1	3.55
39.3	-8.63
30.4	-21.7
22.5	-32.8
15.9	-41.9
5.86	-52.8
-3.14	-62.3
-13.2	-73.7
-26.5	-88.5
-34.3	-96
-43.2	-104
-51.1	-110
-59.9	-115
-65.5	-118
-68.8	-118
-77.3	-118
-85.1	-116
-89.6	-114
-92.9	-111
-94	-110
-94.8	-109
-93.6	-97
-90.3	-87
-85.8	-74.8
-79	-55.7
-73.3	-40.8
-67.7	-27.8
-62	-15.7
-54.1	0.769
-45	15.8
-35.9	27.9
-23.3	41.9
-13.2	52.1
-0.716	62.4
9.41	69.2
24.1	80.1
36.5	89.2
48.9	96.8
61.3	104
70.2	105
77	106
82.6	106
93	101
103	95.2
108	92.4
115	88
122	83.1
126	79.6
127	76.7
127	72.1
125	66.1
121	57.3
116	44
110	31.5
104	17.2
99.1	8.4
89.6	-5.09
81.8	-18.8
71.8	-33.6
59.6	-47.8
48.4	-58.1
35.1	-68
26.2	-73.9
17.3	-78.7
-12.6	-90.6
-24.3	-98
-36.5	-103
-50	-108
-58.8	-110
-77.1	-110
-83.7	-110
-88.2	-108
-95.8	-104
-105	-99.4
-114	-94
-121	-89.8
-126	-85.9
-127	-76.8
-123	-61.5
-113	-38.8
-109	-25.3
-99.5	1.29
-95.6	11.1
-83.6	28
-79.8	36.3
-68.8	46.2
-56.6	56.1
-46.4	62.2
-26.3	66.7
-11.8	72.5
3.74	76.3
23	80
49.5	83.7
66.6	87.2
82.3	88.4
91.4	86.8
107	81.3
118	75.6
124	69
126	67.8
126	62.2
120	47.1
113	29.9
104	8.56
93.6	-10.7
86.9	-20.5
70.6	-39.1
51.7	-55.5
41.7	-61.1
29.4	-66.2
11.1	-71.8
5.48	-72.5
-7.51	-73.4
-20.8	-78.9
-39.7	-84.9
-49.8	-87.7
-59.9	-89.9
-68.8	-91.1
-77.7	-91.4
-84.4	-90.9
-102	-85.5
-106	-83.2
-118	-78.5
-126	-73.2
-126	-72.9
-126	-70.5
-123	-60.4
-115	-37.5
-106	-14.9
-101	-1.8
-94	15.6
-84.4	34.2
-73.8	48.7
-56.7	61.1
-47.7	67.4
-31.1	72.1
-14.7	77.1
-2.35	79.1
17.3	80.4
29.7	80.3
41.5	80.1
58.3	80.6
72	78.2
87.5	73.8
101	70
112	65.2
122	59.8
138	51
141	44.9
140	42.4
139	40
135	29.9
132	23.9
126	11.5
118	5.03
95	1.89
