"Zahn et al. 86, Specimen 8"	
499	
0	0
0.10929	11.189
0	21.022
0	34.245
0.21858	47.131
0.76502	55.947
1.3115	66.458
1.7486	73.236
2.4044	92.225
2.8415	100.02
3.0602	107.82
3.4973	116.3
3.7158	124.09
4.4808	139.69
4.8087	147.83
5.4646	157.66
6.0109	165.8
6.448	174.28
6.9947	186.82
6.8852	172.24
6.6667	165.8
6.448	158.68
6.3388	151.56
6.3388	143.76
6.0109	136.98
5.683	128.85
5.4646	121.72
5.1366	109.52
4.9179	104.09
4.5903	87.141
4.1529	79.339
4.0437	70.866
3.7158	61.031
3.3879	51.196
2.8415	40.687
2.2951	29.837
1.9672	19.327
1.8579	9.1544
1.53	-2.0344
1.2022	-9.4938
1.0929	-15.597
0.54646	-25.09
0.32786	-34.245
0.10929	-46.789
-0.87432	-70.523
-1.0929	-77.306
-2.1858	-104.09
-3.3879	-125.79
-4.4808	-148.17
-4.9179	-154.27
-5.2459	-162.41
-6.1201	-178.01
-6.776	-183.09
-6.8852	-171.56
-6.8852	-163.77
-6.8852	-154.95
-6.776	-146.47
-6.776	-136.98
-6.6667	-127.49
-6.5573	-119.01
-6.2296	-108.84
-6.0109	-100.02
-5.683	-91.206
-5.683	-85.442
-5.4646	-79.001
-5.0274	-70.866
-4.6995	-62.726
-3.8252	-49.502
-3.1694	-29.498
-2.2951	-9.8327
-1.7486	2.3734
-1.4208	12.545
-0.76502	23.056
-0.32786	31.533
-0.10929	39.67
1.4208	68.152
1.8579	78.663
2.4044	90.53
2.8415	103.41
3.1694	116.3
3.6065	128.5
4.1529	140.71
4.8087	152.58
5.4646	164.44
6.1201	176.31
6.2296	179.7
6.6667	187.84
7.3223	199.71
8.3061	212.93
9.399	225.82
10.601	235.31
11.257	243.44
12.678	251.92
13.661	258.36
15.519	263.79
16.612	265.15
17.924	264.81
18.47	256.67
18.251	243.79
17.814	225.47
17.486	209.88
16.831	195.98
16.393	182.07
15.738	168.85
15.191	159.7
14.754	150.54
13.333	127.49
12.787	117.65
12.022	106.12
11.257	93.92
10.492	83.747
9.6175	72.56
8.7432	61.369
7.6502	48.826
6.2296	29.837
5.2459	21.7
4.3716	10.511
3.7158	-0.33906
2.1858	-18.309
1.53	-28.82
0.76502	-42.722
0.32786	-52.553
0	-62.726
-1.8579	-84.427
-2.7323	-93.581
-3.6065	-104.77
-4.6995	-124.78
-5.0274	-133.59
-5.1366	-142.06
-5.5738	-150.54
-6.0109	-161.05
-6.2296	-167.49
-6.776	-177.67
-7.1039	-186.48
-7.541	-195.3
-9.0711	-213.61
-10.82	-231.58
-11.585	-238.02
-12.678	-244.12
-13.989	-249.21
-16.066	-251.58
-18.689	-252.94
-21.421	-253.96
-24.918	-253.96
-25.027	-242.09
-24.809	-230.9
-24.481	-215.31
-24.044	-202.42
-23.716	-190.55
-22.951	-178.01
-22.732	-171.56
-22.295	-160.38
-21.421	-147.15
-20.874	-136.98
-20	-124.09
-19.454	-112.57
-18.579	-102.4
-17.596	-89.85
-16.612	-78.663
-15.628	-64.42
-14.754	-53.572
-13.771	-40.348
-12.022	-18.648
-10.929	-7.4593
-9.5082	7.1204
-8.0874	20.683
-6.5573	35.601
-5.4646	46.112
-3.8252	61.707
-2.6231	73.574
-1.2022	88.493
0	102.4
1.2022	116.64
4.3716	148.85
5.1366	163.43
7.3223	181.74
8.7432	194.62
10.164	205.81
11.913	220.05
13.88	232.59
15.738	242.77
16.94	249.21
18.033	253.28
18.361	238.36
18.142	229.21
17.924	220.39
17.596	211.57
17.268	204.11
16.721	192.25
16.503	181.74
15.847	173.94
14.208	156.31
12.896	138.68
11.585	121.38
9.399	97.989
9.5082	98.327
8.5245	84.766
7.541	73.574
6.448	62.726
5.4646	52.215
4.2624	41.026
3.1694	30.177
2.1858	20.004
0.21858	-0.67814
-0.76502	-12.206
-1.8579	-25.769
-2.9507	-35.94
-3.9345	-46.789
-4.8087	-58.318
-5.7925	-69.847
-7.7594	-88.155
-8.634	-100.7
-10.71	-118.33
-11.585	-128.16
-13.115	-140.37
-14.645	-152.92
-15.628	-162.75
-16.94	-173.6
-18.47	-185.81
-19.672	-194.96
-20.874	-203.1
-21.967	-211.24
-23.497	-220.05
-24.59	-227.51
-25.246	-229.88
-25.791	-221.07
-25.027	-206.49
-24.372	-198.01
-23.825	-186.82
-23.279	-173.94
-22.841	-162.07
-21.967	-148.85
-21.093	-134.61
-18.47	-97.651
-17.486	-84.766
-16.721	-73.236
-15.628	-60.012
-14.098	-44.417
-12.896	-29.498
