specimen,fc_MPa,P_axial_kN,b_mm,h_mm,L_mm,Lsplice_mm,test_config,db_long_mm,n_long_bars,cover_mm,rho_long,fyl_MPa,steel_grade,db_trans_mm,s_hoop_mm,rho_trans,fyt_MPa,failure_mode,axial_load_ratio,source
Gill et al. 1979, No. 1,23.1,1815.0,550.0,550.0,1200.0,0.0,DE,24.0,12.0,40.0,0.0179,375.0,380,10.0,80.0,0.015,297.0,1,0.259,peer
Gill et al. 1979, No. 2,41.4,2680.0,550.0,550.0,1200.0,0.0,DE,24.0,12.0,38.0,0.0179,375.0,380,12.0,75.0,0.023,316.0,1,0.214,peer
Gill et al. 1979, No. 3,21.4,2719.0,550.0,550.0,1200.0,0.0,DE,24.0,12.0,40.0,0.0179,375.0,380,10.0,75.0,0.02,297.0,1,0.42,peer
Gill et al. 1979, No. 4,23.5,4265.0,550.0,550.0,1200.0,0.0,DE,24.0,12.0,38.0,0.0179,375.0,380,12.0,62.0,0.035,294.0,1,0.6,peer
Ang et al. 1981, No. 3,23.6,1435.0,400.0,400.0,1600.0,0.0,DE,16.0,12.0,24.5,0.0151,427.0,380,12.0,100.0,0.028,320.0,1,0.38,peer
Ang et al. 1981, No. 4,25.0,840.0,400.0,400.0,1600.0,0.0,DE,16.0,12.0,22.5,0.0151,427.0,380,10.0,90.0,0.022,280.0,1,0.21,peer
Soesianawati et al. 1986, No. 1,46.5,744.0,400.0,400.0,1600.0,0.0,DE,16.0,12.0,13.0,0.0151,446.0,380,7.0,85.0,0.009,364.0,1,0.1,peer
